Topic,Category,Level,Resource,Author / Provider,Course Code,Prerequisite,Priority in Website ,CSU Class,Best for (goal),URL Link
Python,Video Courses / Structured Learning Paths,Beginner - Advanced,LinkedIn Learning – Python Courses (paywalled),LinkedIn Learning,N/A,N/A,2,N,Structuring Career Learning and Associating it with python related skills ,https://www.linkedin.com/learning/search?keywords=python
Python,Applied / Domain-Specific Resources,Advanced,Logan Seabolt: Github,Logan Seabolt,N/A,N/A,1,N,Applying Python Code to Research,https://github.com/Logan-Seabolt/Logan-Seabolt-Research/blob/main/Testzone.py
Python,Applied / Domain-Specific Resources,Beginner,Logan Seabolt: Github ,Logan Seabolt ,N/A,N/A,1,N,Practicing If-Statements ,https://github.com/Logan-Seabolt/Lab04ChoicesRamDesk
Python,Applied / Domain-Specific Resources,Beginner,Michael Kirby,Michael Kirby,N/A,N/A,1,N,Accessing Various tools for solutions for google platform products,https://github.com/michael-kirby/professional-services
Python,Video Courses / Structured Learning Paths,New to Programming,MIT – Introduction to Computer Science and Programming in Python,MIT OpenCourseWare,N/A,N/A,2,N,Strong programming foundations; CS thinking,https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/video_galleries/lecture-videos/
Python,Applied / Domain-Specific Resources,Advanced,nkrishnaswamy,Nikhil Krishnaswam,N/A,N/A,1,N,Reading some applications of python code,https://github.com/nkrishnaswamy/thesis-docs-utils/tree/master/utils/preprocessing
Python,Documentation / Reference / Practice,Beginner,Official Python Tutorial,Python Software Foundation,N/A,N/A,1,N,Mastering the core concepts of the python language ,https://docs.python.org/3/tutorial/
Python,Online Courses / Structured Learning Paths,Intermediate,Programming with Python,The Carpentries,N/A,N/A,1,N,Learning to program with python for data science purposes ,http://swcarpentry.github.io/python-novice-inflammation
Python,Applied / Domain-Specific Resources,Beginner - Advanced,Python Coding Resources,The Carpentries,N/A,N/A,2,N,Accessing a wide array of python coding resources ,https://carpentries.org/lessons/
Python,Online Courses / Structured Learning Paths,Intermediate,Python for Ecologists,The Carpentries,N/A,N/A,2,N,Learning how to analyze and visualize data in python for ecological applications ,https://datacarpentry.org/python-ecology-lesson/
Python,Documentation / Reference / Practice,Intermediate,Real Python,Real Python Team,N/A,N/A,1,N,Programming with python for real world applications ,https://realpython.com/
Python,Video Courses / Structured Learning Paths,Intermediate,Sage Campus – Intermediate Python Skills,Sage Campus,N/A,N/A,1,N,Applying coding to research based workflows ,https://classroom.sagepub.com/course/view.php?id=7
Python,Video Courses / Structured Learning Paths,Beginner,Sage Campus – Intro to Python,Sage Campus,N/A,N/A,1,N,Learning important concepts for python ,https://classroom.sagepub.com/course/view.php?id=12
Python,Applied / Domain-Specific Resources,Advanced,Sarathsreedharan: Github ,Sarath Sreedharan,N/A,N/A,1,N,Using Python to build AI and large scale modeling.,https://github.com/sarathsreedharan/simoorg
Python,Video Courses / Structured Learning Paths,New to Programming,Software Carpentry – Python Novice Inflammation,Software Carpentry,N/A,N/A,2,N,Gaining a foundational knoweldge of scientific computing basics ,https://swcarpentry.github.io/python-novice-inflammation/
Python,Applied / Domain-Specific Resources,Intermediate,Tai Montgomery: Github Repositories,Tai Montgomery,N/A,N/A,1,N,Learning Technical Python Skills for Computational Biologists,https://github.com/taimontgomery/SnakemakeTutorial
Python,Books / eBooks,Intermediate,The Hitchhiker’s Guide to Python,Kenneth Reitz et al.,N/A,N/A,1,N,Learning best practices for clean code in python,https://docs.python-guide.org/
Python,Applied / Domain-Specific Resources,Advanced,Tristachi: Github,Ravi Mangal,N/A,N/A,1,N,Using Python to code for robustness using different ensembles ,https://github.com/ravimangal/cascade-robustness-impl
Python,Documentation / Reference / Practice,Beginner,W3Schools Python Exercises,W3Schools,N/A,N/A,1,N,Practicing and reinforcing python skills ,https://www.w3schools.com/python/exercise.asp
Python,Applied / Domain-Specific Resources,Advanced,Yunpeng Zhao: Github,Yunpeng Zhao,N/A,N/A,2,N,Learning to use Python for research data analysis,https://github.com/yunpeng-zhao/syndata-privacy
R,Applied / Domain-Specific Resources,Advanced,Brian Gerber: Github,Brian Gerber,N/A,N/A,1,N,modeling for biological habitat applications using R,https://github.com/bgerber123/
R,Applied / Domain-Specific Resources,Intermediate,Brian Gerber: Github,Brian Gerber,N/A,N/A,1,N,Learning to use for loops for simulating purposes,https://github.com/bgerber123/R-Code-Things/blob/main/for.loops.r
R,Applied / Domain-Specific Resources,Intermediate,Brooke Anderson: Github,Brooke Anderson,N/A,N/A,1,N,Using R for climate and weather based research ,https://github.com/geanders
R,Applied / Domain-Specific Resources,Beginner,Coding and Cookies: R,Coding and Cookies,N/A,N/A,1,N,Accessing introductory R Material and Online resources,
R,Applied / Domain-Specific Resources,Advanced,CUAHSI Hydroinformatics Portal,CUAHSI,N/A,N/A,1,N,Water data science; hydroinformatics,https://water-content-portal.cuahsi.io/hydroinformatics/
R,Books / eBooks,Intermediate,Ellison Carter: Google Scholar,Ellison Carter,N/A,N/A,1,N,Learning air pollutation tracking concepts,https://scholar.google.com/citations?user=q0hxm_gAAAAJ&hl=en
R,Online Courses / Structured Learning Paths,Beginner,Guarav Jetly: Github,Guarav Jetly,N/A,N/A,2,N,Accessing foundational tools for R through workshop ,https://github.com/gauravjetley/R-Programming-workshop
R,Books / eBooks,Beginner,Hands-On Programming with R,Garrett Grolemund,N/A,N/A,1,N,Learning programming fundamentals in R,https://rstudio-education.github.io/hopr/
R,Books / eBooks,Beginner,Introduction to R,Multiple authors,N/A,N/A,2,N,Accessing Foundational concepts and basics of R,https://intro2r.com/
R,Applied / Domain-Specific Resources,Beginner,Introduction to R Seminar,UCLA,N/A,N/A,1,N,"Accessing R material for downloading packages, vectors, datasets, variables,and work sharing document types ",https://stats.oarc.ucla.edu/r/seminars/intro/
R,Books / eBooks,Beginner,John Volckens: Coursebook,John Volckens,N/A,N/A,1,N,Learning a wide array of R concepts ,https://smogdr.github.io/edar_coursebook/
R,Applied / Domain-Specific Resources,Beginner,Mike Johnson: Github,Mike Johnson,N/A,N/A,1,N,"Building a website using R, as well as accessing R Code for water based applications",https://github.com/mikejohnson51
R,Applied / Domain-Specific Resources,Beginner - Advanced,Posit Cloud: R Recipes,Posit,N/A,N/A,1,N,Accessing coding examples of R for learning,https://posit.cloud/learn/recipes
R,Books / eBooks,Beginner - Advanced,R for Data Science,Hadley Wickham & Garrett Grolemund,N/A,N/A,2,N,Acessing R related textbook resources,https://r4ds.hadley.nz/
R,Applied / Domain-Specific Resources,Beginner - Advanced,R for Spatial Analysis (GitHub),dcarver1,N/A,N/A,1,N,Using R for Geospatial analysis ,https://github.com/dcarver1/R_SC_Spatial
R,Documentation / Reference / Practice,Intermediate,R Packages,Community-driven,N/A,N/A,1,N,Exploring available R packages,https://r-packages.io/packages
R,Documentation / Reference / Practice,Beginner - Advanced,R Statistics,Selva Prabhakaran,N/A,N/A,1,N,Exploring Practical examples and quick reference,https://r-statistics.co/
R,Books / eBooks,Beginner,R Statistics Tutorial,R statistics,N/A,N/A,,N,Learning how to use R + RStudio and practicing,
R,Video Courses / Structured Learning Paths,New to Programming,Sage Campus: Introduction to R,Sage Campus,N/A,N/A,1,N,Introducing onself to R,https://classroom.sagepub.com/course/view.php?id=2
R,Video Courses / Structured Learning Paths,Intermediate,Sage Campus: Practical Data Management in R,Sage Campus,N/A,N/A,1,N,Wrangling and managing data for ecological applications ,https://classroom.sagepub.com/course/view.php?id=8
R,Applied / Domain-Specific Resources,Intermediate,Stacy Edmundson: Zoomcamp,Stacy Edumdson,N/A,N/A,1,N,Learning how to use R for dataengineering applications,https://edmondsl.github.io/2022/03/15/DE-Zoomcamp-Notes.html
R,Video Courses / Structured Learning Paths,Intermediate,The Carpentries: Data Analysis and Visualization in R for Ecologists,Data Carpentry,N/A,N/A,1,N,Data analysis; scientific workflows,https://datacarpentry.org/R-ecology-lesson/
R,Applied / Domain-Specific Resources,Intermediate,Xinran Wang: Github,Xinran Wang,N/A,N/A,2,N,Learning to built Quarto Websites and apply themes,https://github.com/wang8740/
SQL,Online Courses / Structured Learning Paths,Intermediate,Analyze Data with SQL,Code Academy,N/A,N/A,1,N,Analyzing large datsets with SQL as well as preparation for technical interviews ,https://www.codecademy.com/learn/paths/analyze-data-with-sql
SQL,Online Courses / Structured Learning Paths,Beginner,Codefinity: Introduction to SQL ,Codefinity,N/A,N/A,2,N,Understanding the basics of SQL ,https://codefinity.com/courses/v2/b3ddb247-eebc-4cd4-a859-0d9c1428d0bf?utm_source=bing&utm_medium=cpc&utm_campaign=569548026&utm_content=1174280248644706&utm_term=how%20to%20use%20sql%20for%20beginners&msclkid=791b78ad00c31701f51412bbfcb884b8
SQL,Online Courses / Structured Learning Paths,Intermediate,Codez Up: SQL for big data: Handling Large Scale Datasets,Codez up,N/A,N/A,1,N,Applying basic coding languages to large scale SQL datasets ,https://codezup.com/sql-for-big-data-handling-large-scale-data-sets/
SQL,Online Courses / Structured Learning Paths,Beginner,Intro to SQL,Code Academy,N/A,N/A,2,N,Learning basic SQL Skills ,https://www.codecademy.com/learn/learn-sql-aggregate-functions
SQL,Online Courses / Structured Learning Paths,Beginner,Learn SQL,Code Academy ,N/A,N/A,1,N,Learning introductory SQL Concepts and Skills ,https://www.codecademy.com/learn/learn-sql-multiple-tables
SQL,Online Courses / Structured Learning Paths,Intermediate,Learn SQL: Aggregate Functions,Code Academy,N/A,N/A,1,N,Applying SQL Functions to perform calculations ,https://www.codecademy.com/learn/learn-sql-aggregate-functions
SQL,Online Courses / Structured Learning Paths,Beginner,Learn SQL: Multiple Tables,Code Academy,N/A,N/A,1,N,Joining and working with multlipe different tables in SQL ,https://www.codecademy.com/learn/learn-sql-multiple-tables
SQL,Books / eBooks,Intermediate,Medium: Top 15 SQL Query Techniques for Big Datasets,Medium,N/A,N/A,1,N,Understanding Best Practcies for SQL Coding ,https://medium.com/@CodeWithHannan/top-15-sql-query-optimization-techniques-for-big-datasets-6d808745fa98
SQL,Online Courses / Structured Learning Paths,Beginner - Advanced,SQL Courses ,Code Academy,N/A,N/A,2,N,Accessing a Wide Array of SQL Resources,https://www.codecademy.com/catalog/language/sql
SQL,Books / eBooks,Beginner,SQL Tutorial,W3 Schools,N/A,N/A,1,N,Accessing important SQL commands and examples ,https://www.w3schools.com/sql/default.asp
SQL,Applied / Domain-Specific Resources,Beginner,Vidya Gaddy: Github,Vidya Gaddy,N/A,N/A,1,N,Practicing filtering large datasets for desired information,https://github.com/Vidyagaddy/DSCI235Test/blob/main/practice_final%20(1).ipynb
Unix,Online Courses / Structured Learning Paths,Beginner,Allison: Unix/Linux and Shell Scirpting - Crash Course,Allison ,N/A,N/A,1,N,Familiarizing yourself with basic Unix Commands,https://alison.com/course/unix-linux-and-shell-scripting-crash-course?msockid=2a68803dd7c7641b346696e4d6066551
Unix,Books / eBooks,New to Programming,GeeksforGeeks: Introduction to Unix System,GeeksforGeeks,N/A,N/A,1,N,Developing a basic understanding of Unix Code,https://www.bing.com/search?q=what+is+Unix+Coding&cvid=1bf74d737239436b960c2113f79702a8&gs_lcrp=EgRlZGdlKgYIABBFGDkyBggAEEUYOTIGCAEQABhAMgYIAhAAGEAyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQABhAMgcICBDrBxhA0gEIMjI2NWowajmoAgiwAgE&FORM=ANAB01&PC=DCTS&source=chrome.ob
Unix,Online Courses / Structured Learning Paths,Beginner,Introduction to Linux ,Code Academy,N/A,N/A,1,N,Accessing all around basic linux environment introductions. ,
Unix,Video Courses / Structured Learning Paths,Intermediate,Maximus Mcollough: Setting up Multiple Display Monitors and Settings in Linux ,Maximus Mcollough ,N/A,N/A,1,N,Learning how to connect multiple monitors to one laptop with Unix ,https://www.bing.com/ck/a?!&&p=7e547513dbcc583058822801d5ed58d492b7c4f546c9047e646f5d0bbdae9523JmltdHM9MTc3OTg0MDAwMA&ptn=3&ver=2&hsh=4&fclid=2a68803d-d7c7-641b-3466-96e4d6066551&u=a1L3ZpZGVvcy9yaXZlcnZpZXcvcmVsYXRlZHZpZGVvP3E9Q29ubmVjdGluZyttdWx0aXBsZSttb25pdG9ycyt1c2luZyt1bml4Jm1pZD1CQkY4MjhGODI5QjA3QzlEREJEMkJCRjgyOEY4MjlCMDdDOUREQkQyJmNodXJsPWh0dHBzJTNhJTJmJTJmd3d3LnlvdXR1YmUuY29tJTJmY2hhbm5lbCUyZlVDZGR3dkJYNVJJbXRYVzlXcHBaYk5NdyZGT1JNPVZJUkU
Unix,Documentation / Reference / Practice,Beginner,The Unix Shell,Carpentry,N/A,N/A,1,N,Introducing oneself  to the Unix Shell for Unix software usage,https://swcarpentry.github.io/shell-novice/
Unix,Online Courses / Structured Learning Paths,Beginner - Advanced,Udemy - Unix Courses (Paywalled) ,Udemy,N/A,N/A,2,N,Achieving a well based understanding of Unix ,https://www.udemy.com/course/unix-linux-operating-system/
Unix,Applied / Domain-Specific Resources,Beginner,Unix Tutorial: Basic Unix Commands ,Unix Tutorial,N/A,N/A,1,N,Learning essential Unix Commands and what they do,https://www.unixtutorial.org/basic-unix-commands/
